date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:50	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2013%20Dec%202024%2010:35:49%20GMT	https://learning.google.com/experiments/learn-about	C:/Users/wicky/Downloads/ai%20search/learning.google.com/experiments/learn-about.0.delayed	(from )
16:05:52	231/231	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202024%2010:35:52%20GMT	https://learning.google.com/robots.txt		(from )
16:05:53	273421/273421	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2010:35:51%20GMT	https://learning.google.com/experiments/learn-about/signup	C:/Users/wicky/Downloads/ai%20search/learning.google.com/experiments/learn-about/signup.html	(from )
16:05:55	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Dec%202024%2010:35:55%20GMT	https://learning.google.com/experiments/POST	C:/Users/wicky/Downloads/ai%20search/learning.google.com/experiments/POST.2.delayed	(from https://learning.google.com/experiments/learn-about/signup)
16:05:57	757/757	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Nov%202024%2020:16:27%20GMT	https://www.gstatic.com/education/tmx/images/icons/learn-about-x.png	C:/Users/wicky/Downloads/ai%20search/www.gstatic.com/education/tmx/images/icons/learn-about-x.png	(from https://learning.google.com/experiments/learn-about/signup)
16:05:58	2172/2172	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202023%2018:58:00%20GMT	http://ssl.gstatic.com/gb/images/a/3a1e625196.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/3a1e625196.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:00	1475/1475	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/gb/images/a/3daf4c1f88.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/3daf4c1f88.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:00	746/746	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/gb/images/a/f420d06f66.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/f420d06f66.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:01	843/843	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	http://ssl.gstatic.com/gb/images/a/08ef13d8a6.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/08ef13d8a6.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:01	2370/2370	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	http://ssl.gstatic.com/gb/images/a/142da27578.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/142da27578.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:02	1797/1797	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/gb/images/a/911e3628e6.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/911e3628e6.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:02	1716/1716	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202023%2018:58:00%20GMT	http://ssl.gstatic.com/gb/images/a/41679a9ec5.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/41679a9ec5.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:03	1215/1215	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/gb/images/a/4244245d7e.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/4244245d7e.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:03	809/809	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/gb/images/a/4653513b7d.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/4653513b7d.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:04	2655/2655	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/gb/images/a/ad330d8459.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/ad330d8459.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:04	2144/2144	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/gb/images/a/2c21041e16.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/2c21041e16.png	(from https://learning.google.com/experiments/learn-about/signup)
16:06:04	612/612	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://ssl.gstatic.com/gb/images/a/c03dda0b34.png	C:/Users/wicky/Downloads/ai%20search/ssl.gstatic.com/gb/images/a/c03dda0b34.png	(from https://learning.google.com/experiments/learn-about/signup)
